app_id:VARCHAR,type_code:VARCHAR,num:VARCHAR
302a95814e9d4cc391f989f8002e4110,113700000000000033001,442
68fd049733d849339c69638689dbdb34,111000007178369727005,451
68fd049733d849339c69638689dbdb34,11100000000013338W039,579
68fd049733d849339c69638689dbdb34,11100000MB0372496N004,597
95c38f0783a74cdda05d35b9065b3518,11100000MB0143028R025,610
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W033,925
f1b42add427049a4bf412e420037c984,11100000000013338W078,1304
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W008,2035
03932e4dd03944abbbf4f0942066cd08,11100000717823004M001,2088
68fd049733d849339c69638689dbdb34,11100000000013338W055,2101
68fd049733d849339c69638689dbdb34,111000000000131433008,2158
68fd049733d849339c69638689dbdb34,111000000000131433004,4175
68fd049733d849339c69638689dbdb34,111000007178369727013,8202
95c38f0783a74cdda05d35b9065b3518,null,9580
a2dda60d66f247039ab0abf7b6c8a34d,111000007178369727025,13050
4892cdbbd00f4d25a321e237a8568377,11100000MB03271699001,24499
300cddaf80b9467d8dc11e8098ceaba0,11100000MB1698084H001,50112
1e146c421c2c4aa9b9f73f3f2f426af5,111000000000132664067,300380
